pid,arrival,run_time,finish,wait_time,turn_around_time,response_time,n_context
1,0,6.0,3.0,0.0,3.0,0.0,0
2,1,60.0,33.0,2.0,32.0,2.0,0
3,3,68.0,67.0,30.0,64.0,30.0,0
4,5,34.0,84.0,62.0,79.0,62.0,0
5,6,22.0,95.0,78.0,89.0,78.0,0
6,8,10.0,100.0,87.0,92.0,87.0,0
7,10,52.0,126.0,90.0,116.0,90.0,0
8,11,42.0,147.0,115.0,136.0,115.0,0
9,13,84.0,189.0,134.0,176.0,134.0,0
10,14,66.0,222.0,175.0,208.0,175.0,0
11,16,42.0,243.0,206.0,227.0,206.0,0
12,18,28.0,257.0,225.0,239.0,225.0,0
13,19,2.0,258.0,238.0,239.0,238.0,0
14,20,76.0,296.0,238.0,276.0,238.0,0
15,21,90.0,341.0,275.0,320.0,275.0,0
16,22,56.0,369.0,319.0,347.0,319.0,0
17,23,88.0,413.0,346.0,390.0,346.0,0
18,25,54.0,440.0,388.0,415.0,388.0,0
19,26,42.0,461.0,414.0,435.0,414.0,0
20,27,60.0,491.0,434.0,464.0,434.0,0
21,28,84.0,533.0,463.0,505.0,463.0,0
22,29,22.0,544.0,504.0,515.0,504.0,0
23,30,40.0,564.0,514.0,534.0,514.0,0
24,31,24.0,576.0,533.0,545.0,533.0,0
25,32,78.0,615.0,544.0,583.0,544.0,0
26,33,44.0,637.0,582.0,604.0,582.0,0
27,35,22.0,648.0,602.0,613.0,602.0,0
28,37,88.0,692.0,611.0,655.0,611.0,0
29,38,2.0,693.0,654.0,655.0,654.0,0
30,40,36.0,711.0,653.0,671.0,653.0,0
31,41,88.0,755.0,670.0,714.0,670.0,0
32,42,6.0,758.0,713.0,716.0,713.0,0
33,43,32.0,774.0,715.0,731.0,715.0,0
34,44,18.0,783.0,730.0,739.0,730.0,0
35,46,56.0,811.0,737.0,765.0,737.0,0
36,47,36.0,829.0,764.0,782.0,764.0,0
37,48,50.0,854.0,781.0,806.0,781.0,0
38,49,36.0,872.0,805.0,823.0,805.0,0
39,50,66.0,905.0,822.0,855.0,822.0,0
40,51,86.0,948.0,854.0,897.0,854.0,0
41,53,28.0,962.0,895.0,909.0,895.0,0
42,55,78.0,1001.0,907.0,946.0,907.0,0
43,56,42.0,1022.0,945.0,966.0,945.0,0
44,58,52.0,1048.0,964.0,990.0,964.0,0
45,59,82.0,1089.0,989.0,1030.0,989.0,0
46,61,34.0,1106.0,1028.0,1045.0,1028.0,0
47,63,6.0,1109.0,1043.0,1046.0,1043.0,0
48,64,42.0,1130.0,1045.0,1066.0,1045.0,0
49,66,96.0,1178.0,1064.0,1112.0,1064.0,0
50,68,100.0,1228.0,1110.0,1160.0,1110.0,0
51,70,96.0,1276.0,1158.0,1206.0,1158.0,0
52,72,82.0,1317.0,1204.0,1245.0,1204.0,0
53,73,26.0,1330.0,1244.0,1257.0,1244.0,0
54,75,90.0,1375.0,1255.0,1300.0,1255.0,0
55,76,100.0,1425.0,1299.0,1349.0,1299.0,0
56,77,16.0,1433.0,1348.0,1356.0,1348.0,0
57,78,88.0,1477.0,1355.0,1399.0,1355.0,0
58,79,16.0,1485.0,1398.0,1406.0,1398.0,0
59,80,96.0,1533.0,1405.0,1453.0,1405.0,0
60,82,42.0,1554.0,1451.0,1472.0,1451.0,0
61,83,42.0,1575.0,1471.0,1492.0,1471.0,0
62,84,8.0,1579.0,1491.0,1495.0,1491.0,0
63,86,24.0,1591.0,1493.0,1505.0,1493.0,0
64,88,80.0,1631.0,1503.0,1543.0,1503.0,0
65,90,52.0,1657.0,1541.0,1567.0,1541.0,0
66,92,8.0,1661.0,1565.0,1569.0,1565.0,0
67,94,64.0,1693.0,1567.0,1599.0,1567.0,0
68,96,22.0,1704.0,1597.0,1608.0,1597.0,0
69,98,12.0,1710.0,1606.0,1612.0,1606.0,0
70,99,14.0,1717.0,1611.0,1618.0,1611.0,0
71,101,78.0,1756.0,1616.0,1655.0,1616.0,0
72,103,66.0,1789.0,1653.0,1686.0,1653.0,0
73,104,52.0,1815.0,1685.0,1711.0,1685.0,0
74,105,58.0,1844.0,1710.0,1739.0,1710.0,0
75,106,74.0,1881.0,1738.0,1775.0,1738.0,0
76,108,90.0,1926.0,1773.0,1818.0,1773.0,0
77,109,68.0,1960.0,1817.0,1851.0,1817.0,0
78,111,62.0,1991.0,1849.0,1880.0,1849.0,0
79,113,58.0,2020.0,1878.0,1907.0,1878.0,0
80,114,36.0,2038.0,1906.0,1924.0,1906.0,0
81,116,72.0,2074.0,1922.0,1958.0,1922.0,0
82,118,4.0,2076.0,1956.0,1958.0,1956.0,0
83,119,36.0,2094.0,1957.0,1975.0,1957.0,0
84,121,80.0,2134.0,1973.0,2013.0,1973.0,0
85,123,34.0,2151.0,2011.0,2028.0,2011.0,0
86,125,8.0,2155.0,2026.0,2030.0,2026.0,0
87,126,94.0,2202.0,2029.0,2076.0,2029.0,0
88,128,38.0,2221.0,2074.0,2093.0,2074.0,0
89,129,42.0,2242.0,2092.0,2113.0,2092.0,0
90,130,62.0,2273.0,2112.0,2143.0,2112.0,0
91,131,52.0,2299.0,2142.0,2168.0,2142.0,0
92,132,2.0,2300.0,2167.0,2168.0,2167.0,0
93,133,30.0,2315.0,2167.0,2182.0,2167.0,0
94,135,62.0,2346.0,2180.0,2211.0,2180.0,0
95,137,4.0,2348.0,2209.0,2211.0,2209.0,0
96,139,42.0,2369.0,2209.0,2230.0,2209.0,0
97,140,90.0,2414.0,2229.0,2274.0,2229.0,0
98,141,46.0,2437.0,2273.0,2296.0,2273.0,0
99,142,72.0,2473.0,2295.0,2331.0,2295.0,0
100,144,74.0,2510.0,2329.0,2366.0,2329.0,0
